NUM,DATE,SAMPLE,REPLICATE,ANIMAL,BATCH,SUB_1_RP,SUB_2_H,SUB_3_LS,SUB_4_LP,AI,PI,ALTO,FRAG_CRO,MOT_PRE,MOT_POS,CONC_CAMARA,VF,AD,VAP,VSL,VCL,ALH,BCF,STR,LIN,MOTILE_PCT,PROGRESSIVE_PCT,RAPID_PCT,MEDIUM_PCT,SLOW_PCT,STATIC_PCT,CLIV,BLAST_D8,CELLS_COUNT
71,21/08/2015,190,33,NE049,017_04,8.66,34.46,30.3,26.59,88.8,63.8,54,0.14,75,60,39,242,152,130.5,110.5,224.7,8.7,31.8,82,49,72,56,69,3,13,15,80.952,23.81,.
72,11/09/2015,201,35,NE049,017_04,8.66,34.46,30.3,26.59,87.9,65.5,70.1,.,60,65,74,429,339,87.9,73.3,162.8,5.5,42.6,85,48,57,44,51,6,11,32,63.636,22.078,171
73,20/10/2015,257,41,NE049,017_04,8.66,34.46,30.3,26.59,91.7,72.4,58.7,0.61,50,70,38,223,138,101.2,79.4,219.1,9.6,30.9,78,38,57,41,52,5,14,29,79.73,25.333,109.6
74,01/10/2015,228,38,NE070,005_01,33.04,29.05,5.1,32.82,85.5,49.9,73.5,0.034,30,60,46,232,147,101.8,93.1,147.3,4.9,39.4,89,62,40,31,33,7,13,47,81.818,33.766,185
75,06/10/2015,237,39,NE070,005_01,33.04,29.05,5.1,32.82,93.8,74,67.5,0.078,50,40,27,92,7,87.1,78.9,140.6,5.3,36.7,89,59,42,31,32,9,7,51,81.944,36.111,229.571
76,29/10/2015,268,42,NE070,005_01,33.04,29.05,5.1,32.82,92.5,67.7,65.1,0.27,45,70,27,157,72,95,84.8,156.3,5.1,44.1,88,55,35,30,33,2,5,60,77.941,37.313,.
77,08/10/2015,246,40,2748,2748,29.09,36.97,10.91,23.03,90.4,64.2,70.9,0.19,65,75,17,108,23,79,64.3,146,5.8,34.5,82,47,71,51,62,8,5,24,75.714,25.714,.
78,30/01/2016,343,50,2748,2748,29.09,36.97,10.91,23.03,83.2,40.2,52.6,0.4,45,45,25,53,0,81,68.9,149.3,6.8,32.9,84,48,46,34,39,7,14,40,59.701,22.388,189.333
79,23/01/2016,336,49,ATHENAS,2748,29.09,36.97,10.91,23.03,92.5,67.1,67.9,0.017,45,50,30,125,40,95.8,74.5,198,9.2,28.2,77,39,72,51,68,4,7,21,69.697,27.273,.
80,21/08/2015,182,33,NE070,105_00,33.04,29.05,5.1,32.82,89.5,59.7,63.6,0.013,50,45,29,117,27,90.5,75.1,169.2,7.3,32.3,79,44,44,28,36,8,26,30,81.707,25.61,149.5
81,01/10/2015,229,38,NE070,105_00,33.04,29.05,5.1,32.82,81.3,43.5,40.8,0,50,50,40,170,85,73,57.3,136,6.1,36.4,76,42,36,19,26,11,20,44,87.342,39.241,174.833
82,06/10/2015,238,39,NE070,105_00,33.04,29.05,5.1,32.82,89,61.8,64.9,0.021,70,70,21,122,37,85.4,72.1,163.7,7.3,33.3,83,45,42,32,37,5,10,48,86.667,36.986,.
83,01/10/2015,232,38,NE082,107_05,15.33,34.67,32,18,64.8,27.7,68.9,0.35,40,70,20,116,31,110.8,96,186,7.1,37.3,82,50,30,22,26,4,21,49,84.146,42.683,.
84,06/10/2015,239,39,NE082,107_05,15.33,34.67,32,18,76.8,41,52.4,0.53,40,65,21,113,28,94.1,72.3,194.1,9.3,28.2,75,39,46,30,40,6,14,41,82,38.462,147.75
85,08/10/2015,247,40,NE082,107_05,15.33,34.67,32,18,79.5,52,54.4,0.16,40,55,24,110,25,103.3,79.5,216.2,9.6,29.9,76,38,37,26,35,2,8,55,77.778,31.944,211.5
86,28/08/2015,192,34,NE100,009_06,40.49,32.52,17.18,9.82,86.7,27.6,66.7,1.48,60,55,17,82,0,82.9,62,187.8,9.5,26.6,75,36,47,29,41,6,20,33,67.105,25.333,155.182
87,23/01/2016,335,49,NE100,009_06,40.49,32.52,17.18,9.82,85.5,70.9,72,0.084,60,40,20,66,0,88.6,62.3,212.6,9.8,29.4,71,31,49,27,43,5,14,37,79.688,31.25,.
88,30/01/2016,342,50,NE100,009_06,40.49,32.52,17.18,9.82,79.6,56.3,88.5,0.45,45,30,21,52,0,113.9,91.4,240.3,11.2,29.7,78,38,62,47,59,3,11,27,71.429,17.91,211.9
89,21/08/2015,186,33,NE100,031_06,34.9,20.26,29.46,15.38,73.6,44.6,51.3,0.11,20,50,32,141,51,90.6,70.4,188.7,8.2,31.5,76,38,46,30,41,4,15,39,72.152,8.861,250.667
90,17/09/2015,225,37,NE100,031_06,34.9,20.26,29.46,15.38,70.3,34.3,49.9,0.18,30,60,20,99,14,97.3,75.1,200.9,7.7,37.4,78,40,51,33,45,5,10,39,79.412,16.176,.
91,20/10/2015,258,41,NE100,031_06,34.9,20.26,29.46,15.38,72.3,32.8,58.6,1.88,60,60,16,82,0,96.7,68,215.8,8.6,30.2,72,33,57,32,54,3,10,33,76.623,27.273,128
92,19/11/2015,276,43,NE116,024_06,14.04,8.77,32.46,44.74,81.5,44.1,43.9,1.18,55,60,65,331,246,135.3,128.6,173.2,4.3,45.4,94,75,44,41,42,2,4,52,69.863,17.808,188
93,09/01/2016,312,47,NE116,024_06,14.04,8.77,32.46,44.74,83.1,57.3,68,0.096,50,30,24,61,0,73.9,60.7,150.4,6.6,33.1,82,44,15,14,0,0,6,0,68.852,13.115,191
94,30/01/2016,344,50,NE116,024_06,14.04,8.77,32.46,44.74,82.6,63.1,70.5,0.74,45,45,35,113,48,115.9,98.8,210.6,8.9,32.3,84,47,47,37,43,5,14,39,74.627,4.167,.
95,16/03/3938,138,26,NE182,058_05,14.86,24.31,33.96,26.87,86.9,67.6,80.9,0.3,55,70,34,211,121,94.9,80.3,173.2,8.5,29.9,82,48,72,48,58,14,10,18,60.204,17.172,112
96,17/09/2015,219,37,NE182,058_05,14.86,24.31,33.96,26.87,88.4,65.7,70.5,0.014,50,50,57,240,155,90,74.4,157,7.1,33.5,81,49,40,25,32,8,18,42,61.972,9.859,.
97,08/10/2015,241,40,NE182,058_05,14.86,24.31,33.96,26.87,90.5,71.6,77.8,0.011,60,60,73,372,287,109.7,88.6,201.6,9.1,31.8,79,44,71,50,64,7,15,14,62.5,6.944,172.5
98,21/08/2015,185,33,NE182,105_04,24.98,30.83,13.72,30.47,89.3,73,74.8,0.1,60,70,53,330,240,108.7,89.7,192.9,9.2,26.6,79,45,69,49,62,8,22,9,73.256,4.706,.
99,15/09/2015,213,36,NE182,105_04,24.98,30.83,13.72,30.47,90.6,76,75.8,0.08,50,75,49,309,224,73.3,54.7,143.5,7.7,32.6,79,54,29,12,17,12,6,65,69.118,10.448,153.5
100,17/09/2015,220,37,NE182,105_04,24.98,30.83,13.72,30.47,85.7,63.8,72.2,0.04,40,60,45,227,142,85.1,64.7,169.9,6.8,38.5,75,40,37,23,32,6,11,51,73.529,7.353,204
101,20/10/2015,250,41,NE205,004_06,14.02,44.55,29.6,11.84,79.7,48.9,66,0.015,40,30,33,83,0,95.7,79.2,192.5,7.1,39.6,81,42,44,34,41,3,8,48,71.429,19.718,.
102,19/11/2015,274,43,NE205,004_06,14.02,44.55,29.6,11.84,81.9,60.5,32.8,1.04,60,45,16,122,37,142.4,132.1,194.3,6.1,35.2,90,68,29,23,26,3,23,49,63.38,12.676,169.75
103,09/01/2016,314,47,NE205,004_06,14.02,44.55,29.6,11.84,85.2,64.1,76.8,1.06,65,20,16,27,0,98.7,80.3,198.9,9.8,24.9,80,42,17,14,7,0,12,0,63.793,8.621,229
104,15/09/2015,208,36,NE209,162_05,10.83,25.21,27.08,36.88,89.8,73.3,76.5,0.038,60,55,29,135,50,72.1,48.6,128.3,7.5,27.5,76,49,20,5,11,9,12,68,57.534,9.589,148.143
105,17/09/2015,221,37,NE209,162_05,10.83,25.21,27.08,36.88,87.8,65.1,72.9,0.033,60,70,68,402,317,84.4,62.6,164.5,6.1,34.7,76,42,36,21,31,5,13,51,70.423,17.143,147.333
106,08/10/2015,245,40,NE209,162_05,10.83,25.21,27.08,36.88,86.7,63.2,67.7,0,55,55,12,56,0,96.5,61.3,206.9,9.7,27.2,66,32,43,20,39,4,16,41,68.493,23.288,.
107,11/08/2015,166,30,OCUBO,100901,14.52,21.39,33.16,30.93,87.9,60.2,77.2,0.62,60,70,49,305,215,82.1,60.7,176.3,9.4,31.7,72,37,80,39,62,18,11,9,62.338,0,267.333
108,28/08/2015,196,34,OCUBO,100901,14.52,21.39,33.16,30.93,87.9,40.9,74,0.7,50,70,36,223,134,98.6,77,178.4,6.9,36.3,77,44,57,38,50,7,15,28,65.714,2.857,.
109,17/09/2015,226,37,OCUBO,100901,14.52,21.39,33.16,30.93,95.4,77.3,86.8,0.24,60,70,46,274,189,119.8,103.1,184.1,6.5,40.2,85,56,40,34,38,2,5,55,56,6.757,92.5
110,12/01/2016,328,48,NE116,202_05,10.71,35.71,25,28.57,82.8,57.5,65.2,0.34,45,45,22,82,0,104,89.2,187.2,8.6,29.3,82,47,37,27,32,5,33,29,87.097,32.258,.
